ID,Img_URL,Img_position,Device Subtitle,Device Title,Key Feature_1,Key Feature_2,Key Feature_3,Key Feature_4,Key Feature_5,Key Feature_6,Key Feature_7,Product description,Device Type,Network Technology,LTE catagory support,Manufacture_Address,Manufacture_Phone,Manufacture_Email,Hardware_Antenna,Hardware_Battery,Hardware_Display Resolution,Hardware_Ethernet Posts,Hardware_Sim Type,Hardware_USB ports,Hardware_Voltage supply,Other_Accelerometer,Other_Z-Wave,Other_Audio,Other_Battery safety,Other_Bluetooth,Other_Camera,Other_Dual SIM,Other_E911,Other_eUICC,Other_GNSS,Other_GPSS,Other_GPS,Other_Keyboard,Other_Magnetic card reader,Other_Printer,Other_RJ-11,Other_Scanning tech,Other_Serial,Other_Smart card reader,Other_Voice transmission capable,Other_Wifi,Zigbee,FoTA For Baseband/Modem Software Update Capability,FoTA Client Type,Operating System,Soft_Developer Kit,Soft_Diagnostics,Soft_Security Level,Soft_EMS,Soft_MMS,Soft_Remote Management,Soft_SMS Capability,Soft_WEA,Soft_Persistent Prefix IPv6,Soft_Mobile Private Network,Soft_FWA,Soft_Split Data Routing,Soft_Multi-APN,Soft_Global Capable,Soft_Private Wireless Network,Chassis_Dimensions,Chassis_Weight,Chassis_Operating Temperature,Chassis_Storage Temperature,Chassis_Relative Humidity,Chassis_Rain & dust resistance,Chassis_Vehicle Mounting,Network_NAT,Network_Routing Protocols,Network_Security Protocol,Network_VPN Support,Network_Numbershare,Network_Fax capable,Network_Firewall,Network_UMTS,Network_LTE,Network_LTE Global/Roaming,Network_5G,Network_5G Global/Roaming,Network_GPRS,Network_GSM,Contact_Website,Contact_Address,Contact_Phone,Contact_Email,Industry,Gift_Card,Status,Published,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Included / United States,Included / International
15820,https://odi-device.verizonwireless.com/odi/showcase/api/images/get/15820,,Lenovo,T15 Gen 2,Expansive 15.6" premium mobile workhorse with powerful Intel processing,Up to 10th Generation Intel® Core™ i7-10610U Processor with vPro,Modern Standby and Wake on Voice,ThinkShield security solutions,Military grade durability tested,,,Expansive 15.6" premium mobile workhorse Powerful Intel® processing Discrete graphic and display options Keyboard with number pad Time-saving call-control keys Modern Standby and Wake on Voice features Great for data-driven professionals,Laptop,LTE with GSM/UMTS,Cat 12,"7001 Development Drive, B7, Morrisville, NC 27560",877-453-6686,www.pcsupport.lenovo.com,—,3 Cell 57Wh Wh,1920 x 1080,0,Standard Nano SIM (4FF),4,Type C 65W (supports rapid recharge),—,—,Checked,—,Checked,Checked,—,—,—,Checked,Checked,Checked,Checked,—,—,—,—,—,—,—,Checked,—,Verizon FoTA Solution and Non Verizon FoTA solution (combined),LWM2M,Windows,—,—,—,—,—,—,—,—,—,Checked,—,—,—,—,—,14.4x9.7x0.75 in.,3.86 lbs,41 °F to 95 °F,41 °F to 109 °F,Operating: 8% to 95% at wet-bulb temperature 23°C (73°F),—,—,—,—,—,—,N - no Numbershare,—,Checked,Checked,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band48 (3500 MHz), Band66 (1700 MHz)","Band1 (2100MHz), Band3 (1800MHz), Band7 (2600 MHz), Band12 (700 MHz), Band14 (700 MHz), Band40 (2300 MHz), Band46 (5200 MHz)",,,,,www.Lenovo.com,"7001 Development Drive, B7, Morrisville, NC 27560",877-453-6686,www.pcsupport.lenovo.com,"Construction, Distribution, Education, Financial Services, Healthcare, Insurance, Legal, Media and Entertainment",FALSE,active,TRUE,continue,td-synnex,TRUE,TRUE,TRUE,TRUE
15819,https://odi-device.verizonwireless.com/odi/showcase/api/images/get/15819,,Lenovo,T15 Gen 2,Expansive 15.6" premium mobile workhorse with powerful Intel processing,Up to 10th Generation Intel® Core™ i7-10610U Processor with vPro,Modern Standby and Wake on Voice,ThinkShield security solutions,Military graded durability tested,,,Expansive 15.6" premium mobile workhorse Powerful Intel® processing Discrete graphic and display options Keyboard with number pad Time-saving call-control keys Modern Standby and Wake on Voice features Great for data-driven professionals,Laptop,LTE with GSM/UMTS,Cat 16,"7001 Development Drive, B7, Morrisville, NC 27560",877-453-6686,www.pcsupport.lenovo.com,—,3 Cell 57Wh Wh,1920 x 1080,0,Standard Nano SIM (4FF),4,Type C 65W (supports rapid recharge),—,—,Checked,—,Checked,Checked,—,—,—,Checked,Checked,Checked,Checked,—,—,—,—,—,—,—,Checked,—,Verizon FoTA Solution and Non Verizon FoTA solution (combined),LWM2M,Windows,—,—,"Security Level 1,(Regular OD devices. Minimum security requirements mandated.)",—,—,—,—,—,—,Checked,—,—,—,—,—,14.4x9.7x0.75 in.,—,41 °F to 95 °F,41 °F to 109 °F,Operating: 8% to 95% at wet-bulb temperature 23°C (73°F),—,—,—,—,—,—,N - no Numbershare,—,Checked,Checked,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band48 (3500 MHz), Band66 (1700 MHz)","Band1 (2100MHz), Band3 (1800MHz), Band7 (2600 MHz), Band12 (700 MHz), Band14 (700 MHz), Band40 (2300 MHz), Band46 (5200 MHz)",,,,,www.Lenovo.com,"7001 Development Drive, B7, Morrisville, NC 27560",877-453-6686,www.pcsupport.lenovo.com,"Agricultural, Airborne Usage, Construction, Distribution, Education, Financial Services, Government, Healthcare",FALSE,active,TRUE,continue,td-synnex,TRUE,TRUE,TRUE,TRUE
14151,https://odi-device.verizonwireless.com/odi/showcase/api/images/get/14151,,Wire Pulse,REEL SENSE 2.0,Location Tracking,Cable Length/Reel Depletion Tracking,NFC Comms Plate Support,,,,,"Reel Sense is a platform which uses sensors, and advanced algorithms to track wire and cable usage and reel location for utilities, fiber operators, and OEMs. The product is the first of its kind. The patented algorithms, and the design and performance of our new device will help us stay ahead of competition.",Asset Tracking,LTE Only,Cat M1,"1509 W. Berwyn Ave, Suite 201B",7738958134,jason@wirepulse.io,—,—,—,0,Standard Nano SIM (4FF),0,—,Checked,—,—,—,—,—,—,—,—,—,Checked,Checked,—,—,—,—,Checked,—,—,—,—,—,Verizon FoTA Solution (only),LWM2M,RTOS,—,—,—,—,—,Checked,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,N - no Numbershare,—,—,—,"Band4 (1700 MHz), Band13 (700 MHz)",,,,,,wirepulse.io,"501 COLFAX ST., PALATINE, IL 60067",2243589438,sanjay@mpconsultants.org,"Construction, Distribution, Industrial / Manufacturing, Oil and Gas, Transportation",FALSE,active,TRUE,continue,td-synnex,TRUE,TRUE,TRUE,TRUE
4446,https://odi-device.verizonwireless.com/odi/showcase/api/images/get/4446,,Eseye LLC,Hera604,Rugged industrial design,4 Port Ethernet Switch,Wi-Fi Access point,Tunnelling & VPNs using IPSEC / GRE,onboard AWS IoT Agent,,,"Highly adaptable Enterprise class router for Cellular, Wi-Fi and Ethernet access. The HERA604 is the ideal high speed solution for primary or backup network connectivity. Encased in rugged aluminium the HERA604 routers provide a tough, flexible solution withWi-Fi, Serial and 4 Ethernet. 3 SIMs (including an Eseye Anynet) allow on-board health monitoring to maximises uptime and access ensuring critical services remain connected. AWS IoT agent and Embedded apps on board.",Router,LTE Only,Cat 6,Arthur Lobato,+1 847-270-7614,alabato@eseye.com,External,—,—,4,Standard/Industrial Mini SIM (2FF),0,9-24V 10W Max 3W typical,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Checked,—,—,Checked,—,Verizon FoTA Solution (only),OMADM,Linux,—,—,None,—,—,Checked,Checked,—,—,Checked,Checked,—,—,—,—,15.5cmx14.0cmx2.8cm in.,—,-20°C °C to +55 °C,-40°C °C to +70 °C,5 - 95% non condensing,—,—,Yes,"RIP, BGP, ARP","SSH, SSL",IPSEC,N - no Numbershare,—,Checked,Checked,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz)",,,,,,www.eseye.com,"20 Nugent Road, Guildford, Surrey, GU2 7AF, UK",Australia: +61 8 9551 5200 France:+33 9 87 67 53 37 UK:+44 1483 802503 USA:+ 1 484-935-3130,support@eseye.com,"Agricultural, Construction, Financial Services, Industrial / Manufacturing, Oil and Gas, Professional Services, Retail, Utilities",FALSE,active,TRUE,continue,td-synnex,TRUE,TRUE,TRUE,TRUE
15810,https://odi-device.verizonwireless.com/odi/showcase/api/images/get/15810,,Lenovo,P14s Gen 2,"Smallest, lightest, compact 14"" workstation",Powerful Intel® Core™ processors,NVIDIA® Quadro® professional graphics,Epic battery life and ThinkShield security solutions,Military grade tested,,,"14"" business laptop with powerful Intel® processing Perfect for professionals on the go-from the office, sky or home Top rated graphics, epic battery life, durability tested and graded ThinkShield security solutions Time saving features: Modern Standby and Wake on Voice",Laptop,LTE with GSM/UMTS,Cat 12,"7001 Development Drive, B7, Morrisville, NC 27560",877-453-6686,www.pcsupport.lenovo.com,—,3 Cell 50Wh internal battery,1920 x 1080,0,Standard Nano SIM (4FF),4,65W AC adapter,—,—,Checked,—,Checked,Checked,—,—,—,Checked,Checked,Checked,Checked,—,—,—,—,—,—,—,Checked,—,Non Verizon FoTA Solution (only),LWM2M,Windows,—,—,"Security Level 1,(Regular OD devices. Minimum security requirements mandated.)",—,—,—,—,—,—,Checked,—,—,—,—,—,12.95x8.94x0.7 in.,—,41 °F to 95 °F,41 °F to 109 °F,Operating: 8% to 95% at wet-bulb temperature 23°C (73°F),—,—,—,—,—,—,N - no Numbershare,—,Checked,Checked,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band48 (3500 MHz), Band66 (1700 MHz)","Band1 (2100MHz), Band3 (1800MHz), Band7 (2600 MHz), Band12 (700 MHz), Band14 (700 MHz), Band40 (2300 MHz), Band46 (5200 MHz)",,,,,www.Lenovo.com,"7001 Development Drive, B7, Morrisville, NC 27560",877-453-6686,www.pcsupport.lenovo.com,"Construction, Distribution, Education, Financial Services, Healthcare, Insurance, Legal, Media and Entertainment",FALSE,active,TRUE,continue,td-synnex,TRUE,TRUE,TRUE,TRUE
15809,https://odi-device.verizonwireless.com/odi/showcase/api/images/get/15809,,Lenovo,P14s Gen 2,"10th Generation Intel® Core, 14"" FHD, Up to 48GB DDR4 2667MHz, Up to 1TB PCIe SSD","Top rated professional graphics, long battery life, blazing-fast WiFi",Modern Standby and Wake on Voice,ThinkShield security solutions,Military graded durability tested,,,"14"" business laptop with powerful Intel® processing Perfect for professionals on the go-from the office, sky or home Top rated graphics, epic battery life, durability tested and graded ThinkShield security solutions Time saving features: Modern Standby and Wake on Voice",Laptop,LTE with GSM/UMTS,Cat 16,"7001 Development Drive, B7, Morrisville, NC 27560",877-453-6686,www.pcsupport.lenovo.com,—,"Lithium Coin-Cell, 50 Wh",1920 x 1080,0,Standard Nano SIM (4FF),4,Type C 45W/65W,—,—,Checked,—,Checked,Checked,—,—,—,Checked,Checked,Checked,Checked,—,—,—,—,—,—,—,Checked,—,Non Verizon FoTA Solution (only),LWM2M,Windows,—,—,"Security Level 1,(Regular OD devices. Minimum security requirements mandated.)",—,—,—,—,—,—,Checked,—,—,—,—,—,12.9x8.9x0.7 in.,—,41 °F to 95 °F,41 °F to 109 °F,Operating: 8% to 95% at wet-bulb temperature 23°C (73°F),—,—,—,—,—,—,N - no Numbershare,—,Checked,Checked,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band48 (3500 MHz), Band66 (1700 MHz)","Band1 (2100MHz), Band3 (1800MHz), Band7 (2600 MHz), Band12 (700 MHz), Band14 (700 MHz), Band40 (2300 MHz), Band46 (5200 MHz)",,,,,www.Lenovo.com,"7001 Development Drive, B7, Morrisville, NC 27560",877-453-6686,www.pcsupport.lenovo.com,"Agricultural, Airborne Usage, Construction, Distribution, Education, Financial Services, Government, Healthcare",FALSE,active,TRUE,continue,td-synnex,TRUE,TRUE,TRUE,TRUE
14541,https://odi-device.verizonwireless.com/odi/showcase/api/images/get/14541,,Apptricity Corporation,Apptricity i-Connect Controller Pathfinder Gen2,Integrated Cat-M1 communication with 2G Fallback,Low Energy Bluetooth,,,,,,"Apptricity i-Connect Controller Pathfinder is an M2M mobile platform that communicates asset tracking information using the M1 network. The innovative all-in-one mobile solution, provides an integrated command and communication platform including Cat-M1 cell modem, Bluetooth, Power over Ethernet, SmartPower management, and real time integration to optimize performance.",Asset Tracking,LTE Only,Cat M1,"220 E Las Colinas Blvd, Suite 400, Irving TX 75039",972-823-9873,sales@apptricity.com,—,N/A,N/A,1,Standard/Industrial Micro SIM (3FF),0,12-24 V,—,—,—,—,Checked,—,—,—,—,—,—,Checked,—,—,—,—,Checked,—,—,—,—,—,Verizon FoTA Solution and Non Verizon FoTA solution (combined),LWM2M,Linux,—,—,—,—,—,Checked,—,—,—,Checked,—,—,—,—,—,5.6x2.8x.71 in.,—,-20 °F to 60 °F,-35 °F to 100 °F,95%,—,—,N/A,N/A,N/A,N/A,N - no Numbershare,—,—,—,"Band4 (1700 MHz), Band13 (700 MHz)","1800 MHz, 1900 MHz, 850 MHz, 900 MHz",,,,,www.apptricity.com,"220 E Las Colinas Blvd, Suite 400, Irving TX 75039",972-823-9873,support@apptricity.com,"Agricultural, Construction, Distribution, Education, Financial Services, Government, Healthcare, Hospitality",FALSE,active,TRUE,continue,td-synnex,TRUE,TRUE,TRUE,TRUE
14983,https://odi-device.verizonwireless.com/odi/showcase/api/images/get/14983,,Lenovo,T14 Gen 2 (EM160R-GL),"10th Generation Intel® Core, 14"" FHD, Up to 48GB DDR4 2667MHz, Up to 1TB PCIe SSD","Top rated professional graphics, long battery life, blazing-fast WiFi",Modern Standby and Wake on Voice,ThinkShield security solutions,Military graded durability tested,,,"14"" business laptop with powerful Intel® processing Perfect for professionals on the go-from the office, sky or home Top rated graphics, epic battery life, durability tested and graded ThinkShield security solutions Time saving features: Modern Standby and Wake on Voice",Laptop,LTE with GSM/UMTS,Cat 16,"7001 Development Drive, B7, Morrisville, NC 27560",877-453-6686,www.pcsupport.lenovo.com,—,"Lithium Coin-Cell, 50 Wh",1920 x 1080,0,Standard Nano SIM (4FF),2,Type C 45W/65W,—,—,Checked,—,Checked,Checked,—,—,—,Checked,Checked,Checked,Checked,—,—,—,—,—,—,—,—,—,Non Verizon FoTA Solution (only),LWM2M,Windows,—,—,"Security Level 1,(Regular OD devices. Minimum security requirements mandated.)",—,—,—,—,—,—,Checked,—,—,—,—,—,12.9x8.9x0.7 in.,3.31 lbs,41 °F to 95 °F,41 °F to 109 °F,Operating: 8% to 95% at wet-bulb temperature 23°C (73°F),—,—,—,—,—,—,N - no Numbershare,—,Checked,Checked,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band48 (3500 MHz), Band66 (1700 MHz)","Band1 (2100MHz), Band3 (1800MHz), Band7 (2600 MHz), Band12 (700 MHz), Band14 (700 MHz), Band40 (2300 MHz), Band46 (5200 MHz)",,,,,www.Lenovo.com,"7001 Development Drive, B7, Morrisville, NC 27560",877-453-6686,www.pcsupport.lenovo.com,"Agricultural, Airborne Usage, Construction, Distribution, Education, Financial Services, Government, Healthcare",FALSE,active,TRUE,continue,td-synnex,TRUE,TRUE,TRUE,TRUE
14919,https://odi-device.verizonwireless.com/odi/showcase/api/images/get/14919,,Lenovo,T14 Gen 2,"10th Generation Intel® Core, 14"" FHD, Up to 48GB DDR4 2667MHz, Up to 1TB PCIe SSD","Top rated professional graphics, long battery life, blazing-fast WiFi",Modern Standby and Wake on Voice,ThinkShield security solutions,Military graded durability tested,,,"14"" business laptop with powerful Intel® processing Perfect for professionals on the go-from the office, sky or home Top rated graphics, epic battery life, durability tested and graded ThinkShield security solutions Time saving features: Modern Standby and Wake on Voice",Laptop,LTE with GSM/UMTS,Cat 12,"7001 Development Drive, B7, Morrisville, NC 27560",877-453-6686,www.pcsupport.lenovo.com,—,"Lithium Coin-Cell, 50 Wh",1920 x 1080,0,Standard Nano SIM (4FF),4,Type C 45W/65W,—,—,Checked,—,Checked,Checked,—,—,—,Checked,Checked,Checked,Checked,—,—,—,—,—,—,—,Checked,—,Non Verizon FoTA Solution (only),LWM2M,Windows,—,—,None,—,—,—,—,—,—,Checked,—,—,—,—,—,12.9x8.9x0.7 in.,—,41 °F to 95 °F,41 °F to 109 °F,Operating: 8% to 95% at wet-bulb temperature 23°C (73°F),—,—,—,—,—,—,N - no Numbershare,—,Checked,Checked,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band48 (3500 MHz), Band66 (1700 MHz)","Band1 (2100MHz), Band3 (1800MHz), Band7 (2600 MHz), Band12 (700 MHz), Band14 (700 MHz), Band40 (2300 MHz), Band46 (5200 MHz)",,,,,www.Lenovo.com,"7001 Development Drive, B7, Morrisville, NC 27560",877-453-6686,www.pcsupport.lenovo.com,"Construction, Distribution, Education, Financial Services, Healthcare, Insurance, Legal, Media and Entertainment",FALSE,active,TRUE,continue,td-synnex,TRUE,TRUE,TRUE,TRUE
13658,https://odi-device.verizonwireless.com/odi/showcase/api/images/get/13658,,Peplink,MAX Adapter,1x LTE-A modem (Downlink/Uplink: CAT-6: 300 Mbps/50 Mbps),Redundant SIM slots,2x SMA cellular connectors,1x SMA GPS connector,,,,"The MAX adapter is a state-of-art cellular modem comes with sturdy industrial-strength, low-profile form factor, and providing reliable connectivity to users",Router,LTE with GSM/UMTS,Cat 6,sales@peplink.com,650-450-9668,sales@peplink.com,—,NA,NA,0,SIM1 - Standard Nano SIM (4FF),SIM2 - Standard Nano SIM (4FF),,—,—,—,—,—,—,Checked,—,—,—,—,Checked,—,—,—,—,—,—,—,—,—,—,Verizon FoTA Solution and Non Verizon FoTA solution (combined),OMADM,Linux,—,—,"Security Level 1,(Regular OD devices. Minimum security requirements mandated.)",—,—,Checked,—,—,—,Checked,Checked,—,—,—,—,3.9x2.8x0.6 in.,0.26 lbs,32 °F to 104 °F,32 °F to 104 °F,15% – 95% (non-condensing),—,—,"One-to-one, one-to-many","Static, Dynamic, OSPF, RIPv2, BGP",Yes,"PepVPN, IPSec, L2TP",N - no Numbershare,—,Checked,Checked,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz)",,,,,,www.peplink.com,support@peplink.com,650-450-9668,support@peplink.com,"Agricultural, Airborne Usage, Construction, Distribution, Education, Financial Services, Government, Healthcare",FALSE,active,TRUE,continue,td-synnex,TRUE,TRUE,TRUE,TRUE
16824,https://odi-device.verizonwireless.com/odi/showcase/api/images/get/16824,,Granite Telecommunications LLC,Epik,FXS,FXO,PRI,2 SIM card slots,,,,"EPIK G3 - An analog POTS (Plane Old Telephone Service) line replacement with patented technology that relies on a back-up battery and 4G LTE or internet connection to provide reliable connectivity for faxes, telephones, point of sale solutions, and many life-safety applications.",Router,LTE Only,Cat 4,24800 CHRISANTA DR,1-888-585-EPIK (3745),sales@epik.io,External,2x 5200mAh Li-ion Batteries,N/A,3,Standard/Industrial Mini SIM (2FF),0,12.6V,—,—,—,Checked,—,—,—,—,—,—,Checked,Checked,—,—,—,Checked,—,Checked,—,—,—,—,Verizon FoTA Solution (only),OMADM,Linux,—,—,"Security Level 1,(Regular OD devices. Minimum security requirements mandated.)",—,—,—,—,—,—,Checked,Checked,—,—,—,—,13.5x6.5x3.5 in.,—,0 °C to 45 °C,-20 °C to 70 °C,20 - 90% Non-Cond.,—,—,—,—,—,—,N - no Numbershare,Checked,—,—,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band66 (1700 MHz)",Band14 (700 MHz),,,,,epik.granitenet.com,"24800 CHRISANTA DR, STE 230",1-888-585-EPIK (3745),support@epik.io,"Agricultural, Construction, Distribution, Education, Financial Services, Hospitality, Industrial / Manufacturing, Insurance",FALSE,active,TRUE,continue,td-synnex,TRUE,TRUE,TRUE,TRUE
12089,https://odi-device.verizonwireless.com/odi/showcase/api/images/get/12089,,Netgear,Orbi LTE Router LBR20,Expandable with additional Orbi Satellite,Voice Control with Amazon Alexia and Google Assistant,Smart Parental Control (Circle),Comprehensive anti-virus & data theft protection (Armor),,,,"The Orbi™ 4G LTE Whole Home WiFi Router delivers up to 2.2Gbps high performance WiFi on 4G LTE networks. It has a sleek, modern design with high gain internal antennas for up to 2,000 sq ft of coverage. The Orbi™ 4G LTE WiFi Router with integrated cellular modem is compatible with select Orbi AC Satellites to create a mesh WiFi system, supporting seamless 4K streaming and gaming everywhere in your home.",Router,LTE with GSM/UMTS,Cat 18,Netgear Sales,(408) 907-8000,sales@netgear.com,—,N/A,N/A,2,Standard Nano SIM (4FF),0,12V (device comes with AC power adaptor),—,—,—,—,—,—,—,—,—,—,Checked,—,—,—,—,—,—,—,—,Checked,Checked,—,Verizon FoTA Solution and Non Verizon FoTA solution (combined),LWM2M,Linux,—,—,None,—,—,—,—,—,—,Checked,Checked,—,—,—,—,6.7x3.1x8.9 in.,—,0 °C to 40 °C,-20 °C to 70 °C,5-95%RH,—,—,"RFC 3022, 4787, 5382; Support up to 64K concurrent dynamic NAT sessions","IPv4/v6 basic routing; Static routing; Dynamic routing RIPv1, RIPv2B/M","Standards-based WiFi Security (802.11i, 128-bit AES encryption with PSK), WPA-PSK [TKIP] + WPA2-PSK [AES], Netgear Armor protection","Use OpenVPN (http://openvpn.net/) as VPN Server. OpenVPN is an SSL/TLS-based protocol and its advantages are portability, ease of configuration and compatibility with NAT and dynamic addresses",N - no Numbershare,—,—,—,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band66 (1700 MHz)",,,,,,www.netgear.com,Netgear Technical Support,1-888-NETGEAR,netgearteam@netgear.com,"Agricultural, Construction, Distribution, Education, Financial Services, Healthcare, Hospitality, Insurance",FALSE,active,TRUE,continue,td-synnex,TRUE,TRUE,TRUE,TRUE
14116,https://odi-device.verizonwireless.com/odi/showcase/api/images/get/14116,,Peplink,MAX Adapter,1x LTE-A Pro modem (Downlink/Uplink: CAT-12: 600 Mbps/150 Mbps),Redundant SIM slots,2x SMA cellular connectors,1x SMA GPS connector,,,,"The MAX adapter is a state-of-art cellular modem comes with sturdy industrial-strength, low-profile form factor, and providing reliable connectivity to users.",Router,LTE with GSM/UMTS,Cat 12,sales@peplink.com,6504509668,Sales@peplink.com,—,N/A,N/A,0,SIM1 - Standard Nano SIM (4FF),SIM2 - Standard Nano SIM (4FF),,—,—,—,—,—,—,Checked,—,—,—,—,Checked,—,—,—,—,—,—,—,—,—,—,Verizon FoTA Solution and Non Verizon FoTA solution (combined),OMADM,Linux,—,—,"Security Level 1,(Regular OD devices. Minimum security requirements mandated.)",—,—,Checked,—,—,—,Checked,Checked,—,—,—,—,3.9x2.8x0.6 in.,0.26 lbs,32 °F to 104 °F,32 °F to 104 °F,15% – 95% (non-condensing),—,—,"One-to-one, one-to-many","Static, Dynamic, OSPF, RIPv2, BGP",Yes,"PepVPN, IPSec, L2TP",N - no Numbershare,—,Checked,Checked,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band66 (1700 MHz)",,,,,,www.peplink.com,support@peplink.com,6504509668,support@peplink.com,"Agricultural, Airborne Usage, Construction, Distribution, Education, Financial Services, Government, Healthcare",FALSE,active,TRUE,continue,td-synnex,TRUE,TRUE,TRUE,TRUE
27104,https://odi-device.verizonwireless.com/odi/showcase/api/images/get/27104,,Cradlepoint,L950-C7A,"Plug-and-play overlay failover, Out-of-Band Management, PoE, External antenna option.",,,,,,,"The Cradlepoint L950-C7A endpoint is a turnkey branch continuity solution for LTE failover that integrates seamlessly with existing network and SD-WAN infrastructure. Equipped with Power-over-Ethernet for flexible, unobtrusive placement anywhere to optimize cellular reception. This powerful solution reduces truck rolls, consolidates infrastructure, and maximizes uptime for businesses that require always-on connectivity.",Router,LTE Only,Cat 7,"1111 W Jefferson, Ste 400, Boise, ID, 83702",855-813-3385,sales@cradlepoint.com,—,N/A,N/A,2,SIM1 - Standard Nano SIM (4FF),SIM2 - Standard Nano SIM (4FF),,—,—,—,—,—,—,Checked,—,—,—,Checked,Checked,—,—,—,—,—,—,—,—,—,—,Verizon FoTA Solution (only),LWM2M,Other,—,—,"Security Level 2,(Verizon Response Verified Devices. Comprehensive security requirements mandated.)",—,—,Checked,—,—,—,Checked,—,Checked,—,—,—,5.7x5.7x1.2 in.,—,0 °C to 50 °C,-40 °C to 85 °C,10% to 90% Operating,—,—,Yes,"GRE, L2TP, NEMO, VRRP, STP, NHRP, OSPF, BGP, RIP, VTI, Split DNS, DNS Proxy, DNS, DHCP relay/client/server, SIP, IRC, VLAN support (802.1Q)","IPSec, 802.1x (wired), TACACS+/RADIUS Authentication","IPSec, OpenVPN, CP Secure VPN",N - no Numbershare,—,Checked,Checked,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band66 (1700 MHz)",,,,,,www.cradlepoint.com,"1111 W Jefferson, Ste 400, Boise, ID, 83702",855-813-3385,support@cradlepoint.com,"Agricultural, Construction, Distribution, Education, Financial Services, Government, Hospitality, Industrial / Manufacturing",FALSE,active,TRUE,continue,td-synnex,TRUE,TRUE,TRUE,TRUE
23321,https://odi-device.verizonwireless.com/odi/showcase/api/images/get/23321,,Asiatelco Technologies Co.,Arch+,LTE Cat 4,WiFi 802.11 b/g/n/ac,"USB Type C charging port, 4FF SIM card port, removeable battery",1.77 inch LCD display,,,,W02 is LTE cat4 mobile router and hotspot which support a maximum of 15 WiFi clients. 802.11 b/g/n/ac is supported.,Router,LTE with GSM/UMTS,Cat 4,"4611 Teller Ave, Newport Beach, CA 92660, USA",-6641,support@atel-usa.com,—,3000mAh Li-Ion Battery,NA,0,Standard Nano SIM (4FF),1,5V/1A,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Checked,—,Verizon FoTA Solution and Non Verizon FoTA solution (combined),OMADM,Linux,—,—,"Security Level 1,(Regular OD devices. Minimum security requirements mandated.)",—,—,Checked,Checked,—,—,Checked,—,—,—,—,LTE Licensed,106x62x18 in.,3.8 oz,-10 °C to 60 °C,-20 °C to 80 °C,0-95%,—,—,Support,—,"WPA, WPA2, AES",Does not support,N - no Numbershare,—,—,—,"Band4 (1700 MHz), Band13 (700 MHz)",,,,,,www.atel-usa.com,"4611 Teller Ave, Newport Beach, CA 92660, USA",-3554,wlwang@asiatelco.com,"Agricultural, Airborne Usage, Construction, Distribution, Education, Financial Services, Healthcare, Hospitality",FALSE,active,TRUE,continue,td-synnex,TRUE,TRUE,TRUE,TRUE
